transaction_id,transaction_date_ledg,merchant_id_ledg,amount_usd_ledg,status_ledg,payment_method_ledg,transaction_date_gw,merchant_id_gw,amount_usd_gw,status_gw,payment_method_gw,_merge,issue_type
R001,2026-03-01,M001,1200.0,success,UPI,2026-03-01,M001,1200.0,success,UPI,both,Matched
R002,2026-03-01,M002,850.0,success,Card,2026-03-01,M002,900.0,success,Card,both,Amount Mismatch
R003,2026-03-02,M001,500.0,success,Wallet,2026-03-02,M001,500.0,success,Wallet,both,Matched
R004,2026-03-02,M003,2100.0,success,Card,,,,,,left_only,Missing in Gateway
R005,2026-03-03,M004,7200.0,success,Card,2026-03-03,M004,7200.0,failed,Card,both,Status Mismatch
R006,2026-03-03,M002,950.0,success,UPI,2026-03-03,M002,950.0,success,UPI,both,Matched
R007,2026-03-04,M005,3300.0,failed,NetBanking,2026-03-04,M005,3300.0,failed,NetBanking,both,Matched
R008,2026-03-04,M001,640.0,success,Card,2026-03-04,M001,600.0,success,Card,both,Amount Mismatch
R009,2026-03-05,M002,4100.0,success,Card,2026-03-05,M002,4100.0,success,Card,both,Matched
R010,2026-03-05,M004,2500.0,success,Wallet,,,,,,left_only,Missing in Gateway
R011,,,,,,2026-03-05,M003,1800.0,success,Card,right_only,Missing in Ledger
